Date,ZipCode,WaterUse,PowerUse
12_2011,90009,0,292
01_2012,90009,0,295
02_2012,90009,0,238
03_2012,90009,0,238
04_2012,90009,0,241
05_2012,90009,0,256
06_2012,90009,0,252
07_2012,90009,0,266
08_2012,90009,0,388
09_2012,90009,0,361
10_2012,90009,0,267
11_2012,90009,0,265
12_2013,90009,0,263
01_2013,90009,0,259
02_2013,90009,0,199
03_2013,90009,0,190
04_2013,90009,0,184
05_2013,90009,0,192
06_2013,90009,0,260
07_2005,90010,154.39,498
08_2005,90010,156.81,507
09_2005,90010,152.4,452
10_2005,90010,148.07,448
11_2005,90010,132.9,451
12_2005,90010,129.24,480
01_2006,90010,131.13,487
02_2006,90010,123.2,442
03_2006,90010,130.27,468
04_2006,90010,120.45,431
05_2006,90010,135.02,457
06_2006,90010,137.02,470
07_2006,90010,147.63,291
08_2006,90010,158.65,288
09_2006,90010,153.63,239
10_2006,90010,148.82,244
11_2006,90010,136.68,248
12_2006,90010,128.5,268
01_2007,90010,128.12,274
02_2007,90010,121.34,241
03_2007,90010,134.95,239
04_2007,90010,127.89,218
05_2007,90010,133.32,223
06_2007,90010,137.36,228
07_2007,90010,151.49,322
08_2007,90010,144.57,359
09_2007,90010,143.72,305
10_2007,90010,142.49,317
11_2007,90010,133.02,307
12_2007,90010,111.89,332
01_2008,90010,118.1,350
02_2008,90010,104.56,331
03_2008,90010,126.59,328
04_2008,90010,122.16,305
05_2008,90010,128.44,346
06_2008,90010,121.34,349
07_2008,90010,151.19,385
08_2008,90010,144.58,395
09_2008,90010,143.88,371
10_2008,90010,142.75,380
11_2008,90010,133.29,370
12_2008,90010,111.98,389
01_2009,90010,117.49,378
02_2009,90010,103.55,335
03_2009,90010,124.41,352
04_2009,90010,120.29,329
05_2009,90010,126.47,331
06_2009,90010,119.72,328
07_2009,90010,140.63,415
08_2009,90010,142.83,444
09_2009,90010,139.36,400
10_2009,90010,128.18,394
11_2009,90010,116.16,376
12_2009,90010,113.61,395
01_2010,90010,110.21,393
02_2010,90010,96.83,355
03_2010,90010,112.8,365
04_2010,90010,106.81,335
05_2010,90010,113.03,337
